requested_hot_wall_temperature_K,cea_wall_temperature_K,wall_enthalpy_J_per_kg,wall_conductivity_W_per_m_K,wall_cp_J_per_kg_K,reference_enthalpy_J_per_kg,reference_temperature_K,reference_conductivity_W_per_m_K,reference_cp_J_per_kg_K,reference_viscosity_Pa_s,reference_Prandtl,solid_water_mole_fraction,liquid_water_mole_fraction
255.95000000001727,255.9499969482422,-15439432.505268019,0.15720079483938348,11101.611923984448,-11146196.638045363,874.5082567648464,0.1545026952732485,2881.8355603460745,3.3164805370242735e-05,0.6186009590246319,0.6498086765563716,0.0
256.0000000000173,256.0,-15439058.005324686,0.15718593163390457,11090.809434539631,-11146009.388073698,874.5730592576507,0.154513776020702,2881.883572664237,3.316718909066349e-05,0.6186113617404906,0.6497487968275037,0.0
256.0500000000173,256.04998779296875,-15438682.473261153,0.1571708933876163,11079.984719957498,-11145821.622041931,874.6382128494363,0.15452491687409659,2881.9318466198824,3.316958567117848e-05,0.6186218198249696,0.6496886569486193,0.0
256.1000000000173,256.1000061035156,-15438305.559473455,0.15715566563674965,11069.127892847438,-11145633.165148083,874.7037175225328,0.15453611783155163,2881.9803822243935,3.3171995110247904e-05,0.6186323332593715,0.6496282004372738,0.0
256.1500000000173,256.1499938964844,-15437927.718686165,0.15714026635173867,11058.252238961644,-11145444.244754437,874.7692210924815,0.15454731867192428,2882.0289185393276,3.317440445312944e-05,0.6186428455106401,0.6495674997787378,0.0
256.2000000000173,256.20001220703125,-15437548.48431862,0.15712467611670244,11047.344517415384,-11145254.627570665,874.8350757200706,0.1545585796138295,2882.077716518315,3.317682665250362e-05,0.6186534130869817,0.6495064795628995,0.0
256.25000000001734,256.25,-15437168.31387585,0.15710891334136817,11036.418077323158,-11145064.542349279,874.9009292326882,0.15456984043738303,2882.1265152153155,3.317924875466029e-05,0.6186639794680389,0.6494452129502131,0.0
256.30000000001735,256.29998779296875,-15436786.971050309,0.1570929679535781,11025.466310840025,-11144873.87093651,874.9671337791447,0.15458116135992211,2882.175575591582,3.318168371123677e-05,0.6186746011492112,0.6493836614912474,0.0
256.35000000001736,256.3500061035156,-15436404.216645075,0.15707682943365056,11014.482548895268,-11144682.493733892,875.0336893415309,0.15459254237954223,2882.2248976587007,3.318413152067038e-05,0.6186852781115394,0.6493217860344387,0.0
256.40000000001737,256.3999938964844,-15436020.512382591,0.15706051685583072,11003.480235287694,-11144490.64160265,875.1002437649344,0.15460392327823122,2882.2742204590572,3.3186579230802134e-05,0.6186959538537871,0.649259660764568,0.0
